F1,F2,F3,F4,F5,F6,F7,F8,Label
-7.765604372,-3.121521053,-7.762335583,-2.173204484,2.625609458,-4.180828601,-3.157942611,7.694401796,1
13.9061663,13.57942133,17.71250448,3.130394116,12.38975051,5.48896707,22.477634,13.19927289,0
-0.422300111,-11.65083831,-6.956573442,-2.550279137,-8.034890259,-13.6351049,-4.390564257,-19.93263382,1
6.250967004,-3.235299536,2.920018786,0.369302234,14.17832746,2.675009299,18.21350927,14.51717072,0
5.8221257,11.86793317,8.710650652,1.405755163,9.211062742,0.089381421,18.71560875,4.048365862,0
3.301612955,3.150435779,-3.136733285,0.978499039,-3.630609463,-7.343538682,-3.697494945,2.455315262,1
-0.780323685,-13.94616138,-7.579017481,-2.478799307,-13.28403859,-12.95652764,-13.68815414,-19.227528,1
-5.404507745,-21.62272707,-8.072475083,-2.405208324,-10.80442248,-6.916713174,-18.46271839,-26.68671476,1
8.634480531,15.82303223,10.73994732,14.5148281,10.76012768,-3.921943625,8.00221158,5.997182395,0
-7.962911334,-14.71773376,-5.299203738,-2.736540516,-23.43711735,-5.687084336,-10.64422022,-10.64908199,1
-8.75928412,0.440002655,-4.88568037,-0.690677206,-14.39118009,5.544855377,-10.81611174,-1.940803546,1
17.35450759,9.617155587,15.95230348,7.685568832,0.293233656,5.879436617,11.43766242,10.36156573,0
-0.151701672,-10.99803671,-5.825028852,-1.376101282,-5.167177526,-0.540173424,-4.360259815,-13.77707471,1
8.33851706,9.898500207,13.0821401,-3.359744564,4.390078622,0.367833599,10.7644188,6.771972575,0
13.05149472,4.576556046,-3.335126873,-1.631237724,5.299939752,2.734594374,10.75061825,2.259179867,0
8.907129889,-3.892254446,0.410501969,-0.297427574,8.616585526,9.025710448,11.66789777,1.447143699,0
-1.563553413,15.55483643,8.331634961,3.062112508,5.636628663,-0.567980231,7.13294358,-7.678665389,0
-2.420756419,-5.66092987,3.288025626,-2.242612976,-0.740553079,-0.229960034,-12.55948078,-8.075775509,1
2.884079573,8.011982896,2.376795158,-2.208206264,3.51791177,-4.89315017,-3.472048448,7.80683497,0
-0.899977513,8.496126647,-2.190739968,0.432132843,0.004903592,4.060545409,7.48535472,5.649990453,0
5.178105419,6.198451848,0.819325812,0.656130833,19.55302412,3.606612709,7.489195523,15.83452026,0
1.526608749,6.6682831,14.32071818,14.32481462,3.890435065,5.903133802,10.82545611,-1.260051183,0
